Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.694461	0.542732	0.775610	0.835178	0.415895	0.512242
2	0.379899	0.460649	0.883007	0.860306	0.572873	0.557261
3	0.311111	0.410087	0.902889	0.880917	0.639698	0.615840
4	0.277925	0.379698	0.912306	0.890384	0.672499	0.641060
5	0.256613	0.366081	0.918279	0.897967	0.688007	0.664359
6	0.244485	0.379393	0.921564	0.898072	0.701571	0.666351
7	0.222053	0.402087	0.927899	0.907462	0.714858	0.691799
8	0.210073	0.368956	0.931026	0.900636	0.722272	0.669183
9	0.201322	0.345810	0.933308	0.907709	0.728583	0.685990
10	0.186285	0.352263	0.937773	0.909390	0.736254	0.692231
11	0.175032	0.358404	0.941094	0.909172	0.741992	0.692119
12	0.181197	0.323015	0.939346	0.913718	0.738861	0.702412
13	0.162757	0.365523	0.944699	0.909968	0.747742	0.703616
14	0.152056	0.381502	0.947949	0.915579	0.752578	0.713154
15	0.141340	0.383946	0.951584	0.913768	0.757988	0.713589
16	0.138976	0.400394	0.952201	0.914845	0.760186	0.705275
17	0.145455	0.459136	0.950746	0.915650	0.755907	0.708595
18	0.123532	0.461242	0.956915	0.906071	0.767600	0.684305
19	0.118231	0.476527	0.958686	0.914946	0.769007	0.707683
20	0.104183	0.616929	0.963337	0.915985	0.775900	0.713694
21	0.107962	0.390861	0.961917	0.913777	0.774711	0.708056
22	0.095757	0.394665	0.965913	0.916926	0.780696	0.717330
23	0.089105	0.421688	0.968343	0.910740	0.784272	0.701860
24	0.085527	0.479191	0.969354	0.918143	0.786618	0.716028
25	0.094236	0.399551	0.966366	0.916851	0.782507	0.708136
26	0.080936	0.467387	0.970769	0.919225	0.788910	0.717899
27	0.072776	0.548021	0.973469	0.917636	0.793191	0.719067
28	0.067429	0.541616	0.975316	0.898824	0.796453	0.660215
29	0.080268	0.549275	0.971087	0.913648	0.788949	0.713250
30	0.064409	0.620316	0.976203	0.914133	0.797801	0.708089
