Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.537409	0.220551	0.715724	0.906401	0.557297	0.828824
2	0.170399	0.140476	0.929228	0.941900	0.867811	0.890180
3	0.132256	0.118386	0.945459	0.951559	0.896560	0.907594
4	0.102420	0.102265	0.958383	0.960286	0.920092	0.923606
5	0.087027	0.091363	0.964879	0.964833	0.932141	0.932055
6	0.073728	0.081228	0.970670	0.968860	0.943011	0.939600
7	0.063158	0.078679	0.974784	0.969787	0.950809	0.941346
8	0.057569	0.079211	0.976831	0.969782	0.954712	0.941336
9	0.055609	0.076306	0.977586	0.971045	0.956155	0.943719
10	0.052555	0.077218	0.978666	0.971009	0.958223	0.943652
11	0.062419	0.067297	0.974895	0.974169	0.951020	0.949639
12	0.050084	0.075656	0.979607	0.972771	0.960029	0.946985
13	0.046934	0.089847	0.980769	0.970798	0.962264	0.943253
