Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.447306	0.191471	0.754978	0.924029	0.606397	0.858787
2	0.165980	0.140253	0.932578	0.944253	0.873673	0.894393
3	0.120275	0.123188	0.951094	0.951302	0.906748	0.907127
4	0.096135	0.099604	0.960712	0.959940	0.924394	0.922966
5	0.079273	0.091725	0.967508	0.963983	0.937061	0.930470
6	0.070794	0.084980	0.970876	0.966547	0.943401	0.935261
7	0.063619	0.085629	0.974211	0.966020	0.949719	0.934274
8	0.057721	0.088487	0.976112	0.965613	0.953339	0.933512
