Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.563500	0.209664	0.763774	0.917358	0.617827	0.847332
2	0.195118	0.200011	0.923900	0.910301	0.858563	0.835370
3	0.174147	0.157906	0.931720	0.935242	0.872169	0.878360
4	0.155001	0.146886	0.939495	0.941897	0.885895	0.890175
5	0.140364	0.135915	0.944242	0.944145	0.894374	0.894199
6	0.126591	0.119916	0.950030	0.951942	0.904816	0.908291
7	0.122181	0.108060	0.950398	0.955818	0.905484	0.915374
8	0.107710	0.098630	0.956861	0.960211	0.917291	0.923466
9	0.097272	0.097241	0.961526	0.961976	0.925904	0.926737
10	0.092414	0.089728	0.963607	0.965150	0.929770	0.932647
11	0.088176	0.086263	0.965901	0.968030	0.934052	0.938042
12	0.090739	0.082679	0.964739	0.968438	0.931879	0.938807
13	0.084358	0.077939	0.967455	0.970062	0.936962	0.941865
14	0.070164	0.078605	0.973244	0.970830	0.947882	0.943313
15	0.083041	0.094214	0.968140	0.968001	0.938248	0.937986
