Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.730342	0.513223	0.598528	0.701213	0.427071	0.539899
2	0.342731	0.221444	0.823364	0.912674	0.699761	0.839374
3	0.185314	0.159452	0.926919	0.936640	0.863791	0.880831
4	0.146360	0.143507	0.941213	0.941885	0.888955	0.890153
5	0.127582	0.126638	0.948150	0.949390	0.901411	0.903657
6	0.111369	0.115039	0.954943	0.954255	0.913771	0.912512
7	0.097235	0.103310	0.961024	0.958990	0.924972	0.921211
8	0.085665	0.094013	0.965994	0.963040	0.934225	0.928715
9	0.073822	0.096160	0.970599	0.963860	0.942878	0.930242
10	0.067631	0.083777	0.972984	0.968544	0.947388	0.939006
11	0.067351	0.084228	0.973111	0.968072	0.947630	0.938119
12	0.073975	0.089632	0.969889	0.964713	0.941538	0.931831
