Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.430392	0.187856	0.767265	0.921082	0.622409	0.853708
2	0.157665	0.148491	0.936071	0.940506	0.879824	0.887693
3	0.126304	0.116219	0.948338	0.951554	0.901752	0.907585
4	0.096022	0.105093	0.960029	0.955664	0.923131	0.915093
5	0.084305	0.104113	0.964643	0.959295	0.931701	0.921773
6	0.078923	0.101964	0.966353	0.962285	0.934897	0.927311
7	0.072427	0.097128	0.969260	0.961806	0.940354	0.926422
8	0.084505	0.111581	0.963970	0.957620	0.930447	0.918686
