Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.519632	0.219021	0.731670	0.910880	0.576877	0.836346
2	0.176367	0.150705	0.928539	0.939421	0.866610	0.885762
3	0.134197	0.121579	0.945044	0.951764	0.895813	0.907968
4	0.112777	0.113038	0.954125	0.955748	0.912274	0.915246
5	0.096186	0.094627	0.961623	0.962319	0.926083	0.927374
6	0.082156	0.089620	0.967738	0.964580	0.937492	0.931584
7	0.075908	0.083407	0.970468	0.967614	0.942631	0.937259
8	0.077536	0.085758	0.969160	0.966220	0.940165	0.934647
9	0.067924	0.075473	0.973362	0.970292	0.948107	0.942299
10	0.076183	0.078709	0.969525	0.969844	0.940852	0.941453
11	0.064546	0.071472	0.974856	0.972546	0.950944	0.946559
12	0.055814	0.071841	0.977877	0.972458	0.956712	0.946392
13	0.051437	0.071113	0.979516	0.973431	0.959854	0.948236
14	0.047415	0.068071	0.981052	0.974626	0.962808	0.950508
15	0.044157	0.067263	0.982223	0.975429	0.965067	0.952036
16	0.041087	0.065922	0.983357	0.976323	0.967260	0.953742
17	0.038724	0.068305	0.984121	0.976295	0.968739	0.953687
