Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	198150.223516	0.437308	0.696194	0.795278	0.533971	0.660134
2	0.408550	0.388056	0.798584	0.818800	0.664703	0.693194
3	0.379198	0.374261	0.835844	0.847246	0.717982	0.734976
4	0.368195	0.364889	0.863166	0.872816	0.759271	0.774333
5	0.363286	0.362898	0.870195	0.874481	0.770217	0.776958
6	0.360764	0.363044	0.872866	0.872110	0.774411	0.773223
7	0.360009	0.361461	0.873366	0.875028	0.775200	0.777821
8	0.359780	0.359201	0.874350	0.879021	0.776751	0.784155
9	0.358228	0.359867	0.875818	0.881925	0.779072	0.788788
10	0.357900	0.359314	0.876365	0.881335	0.779937	0.787846
11	0.357939	0.359012	0.875847	0.882144	0.779117	0.789140
12	0.357668	0.359659	0.876619	0.878385	0.780340	0.783143
