Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.349321	0.159804	0.836257	0.932859	0.718593	0.874166
2	0.144274	0.121860	0.940130	0.948306	0.887023	0.901693
3	0.110628	0.103733	0.953783	0.956379	0.911649	0.916404
4	0.090441	0.094236	0.962239	0.961042	0.927226	0.925005
5	0.074815	0.094494	0.969437	0.962144	0.940686	0.927050
6	0.064950	0.089809	0.973461	0.964411	0.948293	0.931268
7	0.061575	0.080171	0.974653	0.968719	0.950558	0.939336
8	0.061344	0.079815	0.975042	0.968653	0.951300	0.939211
9	0.053334	0.084210	0.977905	0.967853	0.956766	0.937709
