Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.672778	0.560745	0.786382	0.826432	0.406433	0.470438
2	0.417612	0.512667	0.868846	0.842945	0.536157	0.534123
3	0.368815	0.475404	0.882157	0.852933	0.571402	0.556282
4	0.338459	0.462535	0.890202	0.857366	0.591274	0.567529
5	0.317288	0.447943	0.895987	0.862898	0.604508	0.579419
6	0.297601	0.444798	0.901468	0.867278	0.616675	0.588702
7	0.286086	0.437161	0.904714	0.869292	0.623268	0.594643
8	0.274952	0.456035	0.908167	0.870795	0.628645	0.599719
9	0.267442	0.463787	0.910192	0.868986	0.632166	0.592857
