Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	2616.084624	2612.278941	0.292107	0.309070	0.106001	0.118117
2	2305.176251	2519.447253	0.321980	0.314674	0.129996	0.124095
3	2261.618619	2557.546489	0.327622	0.309537	0.136315	0.123400
4	2248.680490	2603.954995	0.330995	0.309365	0.139375	0.126254
5	2254.706907	2458.990311	0.330714	0.321003	0.139790	0.129861
6	2229.301172	2543.325504	0.330649	0.321100	0.139945	0.131222
7	2211.242363	2583.958996	0.334434	0.313173	0.141682	0.121627
8	2208.776731	2600.833358	0.332872	0.307812	0.143639	0.121370
9	2236.964811	2559.861898	0.332005	0.318547	0.142016	0.128511
10	2206.939209	2519.171068	0.334198	0.319844	0.143223	0.133780
11	2220.104912	2488.769116	0.331802	0.321868	0.142695	0.133760
12	2211.541869	2481.981232	0.332614	0.318953	0.144316	0.133293
13	2211.842880	2528.529795	0.332732	0.318586	0.143225	0.127960
14	2218.552442	2467.382045	0.331824	0.316627	0.143650	0.126923
15	2206.278108	2566.882905	0.335912	0.311070	0.145300	0.126854
