Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	25271.108417	23184.110648	0.261702	0.282681	0.084378	0.099982
2	20664.466581	21316.589258	0.304692	0.301823	0.115119	0.113918
3	19042.216201	20318.169461	0.326303	0.327724	0.134041	0.138648
4	18911.453406	19933.052250	0.327505	0.330120	0.137060	0.137629
5	18350.210345	19598.106566	0.333555	0.326179	0.141434	0.138370
6	18286.585997	20114.575852	0.337751	0.330770	0.147478	0.142320
7	17725.909023	20287.939953	0.343698	0.328578	0.152290	0.139559
8	17588.337440	20021.037809	0.347070	0.335189	0.155486	0.145207
9	17729.089245	19472.864652	0.343722	0.345281	0.152648	0.153866
10	17850.197424	19528.054824	0.340894	0.335521	0.152544	0.146303
11	17794.631161	19140.555541	0.349927	0.340315	0.159038	0.152695
12	17280.175810	19581.861066	0.349771	0.341024	0.159161	0.148929
