Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	23002.444065	22652.233629	0.299478	0.310537	0.110748	0.120194
2	19507.960997	21745.258776	0.337419	0.330545	0.143556	0.140413
3	19322.124905	21846.717409	0.345114	0.333768	0.153999	0.144115
4	19108.430168	21726.715062	0.348661	0.329177	0.157606	0.142016
5	18837.315308	21583.003743	0.354477	0.335290	0.163637	0.145239
6	18962.564652	21660.581339	0.352052	0.336430	0.161461	0.146736
7	18964.161416	21081.952777	0.353148	0.333674	0.164447	0.143787
8	18922.913649	21723.378582	0.350072	0.339728	0.162687	0.149781
9	18895.135088	20620.483965	0.351328	0.343769	0.163543	0.148293
10	18890.204922	21857.701540	0.349550	0.336064	0.161727	0.147967
