Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.639873	0.578979	0.789954	0.818730	0.415229	0.450176
2	0.431420	0.508444	0.865041	0.839937	0.519207	0.518406
3	0.390317	0.480372	0.876323	0.847674	0.552166	0.539792
4	0.364713	0.453569	0.882917	0.854764	0.568129	0.555931
5	0.345826	0.449500	0.887812	0.859258	0.579604	0.567108
6	0.327904	0.433875	0.892342	0.862008	0.592561	0.575570
7	0.310935	0.440241	0.896867	0.861685	0.603210	0.578235
8	0.298810	0.438766	0.900246	0.868146	0.610464	0.588204
9	0.290926	0.421697	0.902828	0.867839	0.614207	0.586611
10	0.276605	0.431001	0.907229	0.869920	0.620675	0.590866
11	0.272514	0.425579	0.908987	0.867537	0.625035	0.584876
12	0.260419	0.424730	0.912329	0.871549	0.631275	0.592220
13	0.257439	0.451362	0.913186	0.869839	0.632026	0.588129

