Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.699628	0.567768	0.775053	0.822960	0.396809	0.453347
2	0.427247	0.485429	0.865293	0.847176	0.517501	0.524123
3	0.379935	0.452771	0.878462	0.855974	0.558217	0.550268
4	0.348387	0.434745	0.887044	0.862774	0.581289	0.565526
5	0.325128	0.433309	0.893565	0.865660	0.597059	0.574612
6	0.306745	0.424616	0.898603	0.869532	0.608488	0.579126
7	0.289790	0.420995	0.903496	0.873300	0.618095	0.585584
8	0.280473	0.441361	0.906102	0.873940	0.621741	0.590369
