Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.643626	0.556381	0.790728	0.830645	0.407366	0.500520
2	0.425228	0.496865	0.866136	0.843419	0.527549	0.529664
3	0.380045	0.464836	0.878044	0.852518	0.552159	0.544231
4	0.344237	0.446348	0.887628	0.859928	0.571434	0.557190
5	0.315601	0.437238	0.895504	0.864772	0.587151	0.562568
6	0.292217	0.437881	0.902265	0.869751	0.598260	0.568810
7	0.284202	0.443117	0.904833	0.871624	0.602400	0.566558
8	0.273813	0.436543	0.907847	0.866379	0.607116	0.559312
9	0.249719	0.435162	0.915276	0.869758	0.620167	0.563957
10	0.241638	0.441959	0.917529	0.863732	0.622878	0.557979
11	0.229448	0.463116	0.921382	0.870105	0.630104	0.563263
