Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.696369	0.606535	0.777909	0.815922	0.400651	0.460503
2	0.428550	0.507506	0.865957	0.839556	0.528464	0.527795
3	0.381963	0.475242	0.878462	0.849505	0.560041	0.550395
4	0.349495	0.457508	0.887304	0.856795	0.581861	0.565611
5	0.325664	0.452213	0.893677	0.860865	0.597302	0.576095
6	0.316099	0.440663	0.896025	0.862280	0.602930	0.577646
7	0.295059	0.452020	0.901764	0.864239	0.615369	0.583653
8	0.275566	0.426697	0.907532	0.868601	0.625129	0.586966
9	0.265714	0.421290	0.910338	0.870870	0.629155	0.587574
10	0.254875	0.423547	0.914025	0.872196	0.634896	0.588608
11	0.245376	0.436838	0.917107	0.870190	0.638699	0.585844
12	0.250279	0.416895	0.915462	0.868295	0.638324	0.580362
13	0.227566	0.413460	0.922698	0.871132	0.647834	0.584326
14	0.213678	0.437611	0.927057	0.869953	0.654139	0.586699
