Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.778255	0.683449	0.729034	0.790538	0.366230	0.420493
2	0.495598	0.591428	0.847746	0.818369	0.473342	0.451059
3	0.449300	0.547959	0.860371	0.829827	0.491098	0.469748
4	0.420035	0.516693	0.868656	0.837365	0.524181	0.501727
5	0.397532	0.493078	0.874842	0.843545	0.545624	0.522313
6	0.377066	0.484543	0.880377	0.848447	0.559827	0.537068
7	0.357711	0.472116	0.885430	0.853005	0.571026	0.557662
8	0.345450	0.476124	0.888673	0.854896	0.578374	0.565899
9	0.332226	0.475004	0.892120	0.856842	0.584900	0.569297
10	0.315732	0.470225	0.896796	0.859333	0.594913	0.574804
11	0.306670	0.467828	0.899543	0.862377	0.598833	0.578866
12	0.299472	0.450701	0.901646	0.862848	0.605495	0.576821
13	0.287876	0.444030	0.905489	0.868997	0.612053	0.587268
14	0.280172	0.457635	0.907805	0.869192	0.615628	0.586774
15	0.269699	0.449715	0.910805	0.873538	0.621797	0.589662
16	0.261346	0.433311	0.913406	0.876177	0.626270	0.592187
17	0.247043	0.436384	0.917652	0.875948	0.633373	0.594769
18	0.235036	0.435354	0.921200	0.879024	0.638732	0.592794
19	0.228916	0.430888	0.923200	0.878970	0.642547	0.596348
