Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.661999	0.564774	0.783117	0.829202	0.404791	0.496438
2	0.427339	0.489607	0.864767	0.847437	0.527239	0.533245
3	0.379232	0.451491	0.877853	0.858548	0.552629	0.546984
4	0.346347	0.432950	0.886828	0.864127	0.571170	0.555450
5	0.318511	0.428459	0.894534	0.866547	0.587179	0.563096
6	0.296679	0.416663	0.900693	0.870087	0.599313	0.569025
7	0.283514	0.418812	0.904407	0.869830	0.605246	0.569477
8	0.270808	0.428264	0.908127	0.869758	0.610336	0.571850
9	0.258000	0.451223	0.912169	0.869116	0.615697	0.569472
