Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.629964	0.589591	0.800668	0.823585	0.422175	0.464048
2	0.439738	0.516399	0.863330	0.844197	0.514044	0.525506
3	0.393415	0.485972	0.875171	0.852458	0.548797	0.543966
4	0.358837	0.462503	0.884145	0.859955	0.566040	0.555707
5	0.336938	0.452222	0.890149	0.862738	0.576545	0.563911
6	0.323879	0.444969	0.893695	0.865476	0.583043	0.569305
7	0.303362	0.454842	0.899660	0.866984	0.593447	0.569899
8	0.283807	0.473976	0.905458	0.867369	0.603386	0.568854
