Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.726128	0.575201	0.767854	0.818553	0.383927	0.446584
2	0.432738	0.496511	0.864421	0.841883	0.514339	0.522006
3	0.384656	0.457212	0.877578	0.852532	0.554704	0.552602
4	0.353058	0.448661	0.886027	0.857281	0.577705	0.566489
5	0.327931	0.442215	0.892915	0.862054	0.594022	0.575555
6	0.306836	0.435890	0.898677	0.865284	0.607108	0.582226
7	0.287970	0.440342	0.903954	0.868721	0.617300	0.583639
8	0.277032	0.423067	0.907118	0.871404	0.622909	0.585620
9	0.269124	0.428636	0.909938	0.871308	0.626255	0.586047
10	0.258050	0.419760	0.912822	0.875123	0.633304	0.591494
11	0.247087	0.454599	0.916589	0.868208	0.636641	0.577725
