Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.712393	0.576498	0.770629	0.823656	0.394035	0.461609
2	0.438051	0.531970	0.863566	0.837590	0.517917	0.511481
3	0.388887	0.495936	0.877302	0.847802	0.554434	0.535817
4	0.357580	0.472410	0.885442	0.854716	0.574808	0.549741
5	0.332835	0.470033	0.892007	0.855672	0.590833	0.553070
6	0.314843	0.455238	0.896869	0.862419	0.602614	0.570993
7	0.301686	0.458483	0.900222	0.864940	0.610358	0.578230
8	0.286214	0.490234	0.904654	0.863959	0.618540	0.580764
