Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	1.050733	0.653344	0.651220	0.801812	0.292940	0.425329
2	0.521221	0.551675	0.837060	0.830892	0.460404	0.463437
3	0.456033	0.518039	0.855868	0.839609	0.490967	0.498080
4	0.417037	0.497887	0.867112	0.845245	0.522885	0.521948
5	0.388529	0.488184	0.875119	0.846479	0.544985	0.533716
6	0.366201	0.498984	0.881238	0.843593	0.560444	0.539170
7	0.347649	0.483796	0.886395	0.847878	0.572619	0.548740
8	0.337719	0.487591	0.888803	0.845467	0.578806	0.546417
9	0.317873	0.486703	0.894138	0.848962	0.590125	0.556829
10	0.303604	0.460870	0.898569	0.857001	0.598652	0.566137
11	0.288792	0.461400	0.903210	0.857469	0.604578	0.569204
12	0.278335	0.452647	0.906701	0.859824	0.609768	0.571661
13	0.277037	0.456035	0.906500	0.861648	0.611539	0.573583
14	0.265186	0.472345	0.910827	0.858626	0.618128	0.571699
15	0.267366	0.488344	0.910203	0.854683	0.618179	0.566899
16	0.267976	0.474083	0.909392	0.855643	0.619311	0.574013
17	0.247395	0.473988	0.915953	0.860243	0.626423	0.578194
18	0.241730	0.490478	0.917690	0.858619	0.630460	0.576208
19	0.228585	0.497294	0.921819	0.861156	0.637082	0.577867
20	0.215198	0.509635	0.926236	0.865331	0.645612	0.581480
21	0.205293	0.517352	0.929384	0.865270	0.650804	0.579270
22	0.196896	0.530436	0.932115	0.866322	0.656421	0.581183
23	0.196552	0.551684	0.932021	0.859776	0.657739	0.574284
24	0.193214	0.547110	0.933013	0.864429	0.659592	0.577852
25	0.186870	0.560065	0.935017	0.870163	0.661840	0.584821
26	0.185834	0.533451	0.935197	0.872620	0.662308	0.579428
27	0.192110	0.505140	0.932809	0.869202	0.659564	0.583914
28	0.215901	0.527531	0.925853	0.863848	0.649968	0.581243
29	0.191252	0.536251	0.933400	0.860986	0.662539	0.570540
30	0.177353	0.517291	0.937698	0.869420	0.670132	0.578431
