Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	0.703855	0.560595	0.772219	0.826774	0.395667	0.463459
2	0.425574	0.500568	0.866778	0.843810	0.524594	0.508030
3	0.376380	0.464865	0.880186	0.854069	0.562002	0.529790
4	0.344673	0.447415	0.888428	0.860649	0.584579	0.549660
5	0.319100	0.428224	0.895420	0.867076	0.601380	0.565953
6	0.298943	0.415706	0.901395	0.869838	0.613324	0.573450
7	0.287491	0.439106	0.904611	0.872068	0.619157	0.575285
8	0.277123	0.442220	0.907781	0.875062	0.624242	0.581303
9	0.262758	0.432857	0.912176	0.877296	0.631808	0.586228
10	0.256649	0.406948	0.914144	0.877122	0.634578	0.586427
11	0.247789	0.416803	0.916738	0.880616	0.639034	0.591294
12	0.234689	0.418893	0.920560	0.880683	0.644818	0.595323
13	0.220800	0.444887	0.925046	0.883853	0.651642	0.596397
14	0.219499	0.430506	0.925089	0.879361	0.652975	0.592743
15	0.213305	0.400542	0.927005	0.882084	0.655896	0.593093
16	0.201931	0.480657	0.930755	0.885682	0.661667	0.594540
17	0.192692	0.453991	0.933618	0.887771	0.666155	0.596503
18	0.204949	0.443560	0.929847	0.884019	0.661522	0.592528
19	0.192228	0.464678	0.933412	0.888794	0.666521	0.600391
20	0.181256	0.495620	0.937083	0.888410	0.673269	0.596412
21	0.174615	0.499313	0.939116	0.886393	0.676486	0.599472
22	0.188590	0.511252	0.934629	0.883016	0.670109	0.595975
23	0.192016	0.428976	0.933745	0.878420	0.669316	0.598173
24	0.173045	0.418216	0.939330	0.879972	0.678044	0.601462
25	0.162112	0.452175	0.942926	0.881393	0.684653	0.602856
26	0.156335	0.467460	0.944703	0.881922	0.688568	0.602813
27	0.156324	0.486408	0.944515	0.879985	0.689167	0.598252
28	0.157886	0.481406	0.943920	0.876875	0.688386	0.593832
29	0.157125	0.464010	0.944128	0.882696	0.688072	0.593060
30	0.158142	0.516857	0.943820	0.883171	0.688041	0.592875
