Epochs	Train Loss	Val Loss	Train Accuracy	Val Accuracy	Train iou	Val iou
1	1.360254	0.845099	0.546863	0.743372	0.202994	0.358655
2	0.630613	0.705058	0.805188	0.780760	0.419924	0.408965
3	0.519548	0.660412	0.840672	0.788361	0.461844	0.420004
4	0.476120	0.655972	0.852607	0.785922	0.476896	0.422530
5	0.447891	0.645225	0.860347	0.788546	0.488709	0.427626
6	0.425125	0.615900	0.866345	0.798940	0.500627	0.439855
7	0.405952	0.592943	0.871489	0.808689	0.514232	0.453254
8	0.388831	0.585738	0.876012	0.813348	0.527963	0.462569
9	0.370769	0.585880	0.880884	0.813935	0.541806	0.468026
10	0.354680	0.590484	0.885661	0.815824	0.553464	0.477609
11	0.338301	0.590530	0.890238	0.820862	0.562331	0.485496
12	0.330989	0.585861	0.892499	0.825640	0.565345	0.498799
13	0.317587	0.594643	0.896367	0.827189	0.572121	0.494028
14	0.311208	0.622075	0.898364	0.820538	0.574072	0.492424
15	0.297135	0.617534	0.902256	0.825272	0.584836	0.498802
16	0.285145	0.650621	0.905895	0.814333	0.589886	0.489520
17	0.280363	0.630834	0.907433	0.814428	0.593881	0.490068
18	0.276084	0.664635	0.908702	0.803233	0.597723	0.481859
19	0.268469	0.585065	0.910668	0.831263	0.602719	0.516814
20	0.262021	0.612789	0.912989	0.826316	0.607019	0.513629
21	0.246500	0.545033	0.918045	0.842320	0.615103	0.531229
22	0.241621	0.564483	0.919307	0.843659	0.615337	0.532515
23	0.232502	0.554046	0.922136	0.845876	0.622873	0.538327
24	0.229881	0.596281	0.922908	0.840793	0.621934	0.531359
25	0.229284	0.584169	0.922944	0.844752	0.623688	0.539740
26	0.224557	0.562948	0.924067	0.846815	0.627628	0.543980
27	0.217378	0.577020	0.926719	0.843360	0.631276	0.541752
28	0.211499	0.567362	0.928319	0.847458	0.635051	0.548623
29	0.203047	0.551809	0.931249	0.848116	0.641588	0.546299
30	0.196394	0.557417	0.933509	0.849993	0.645563	0.536137
